id,user_msg,expected_intent,expected_class,expected_attributes,expected_filter_attributes,expected_key_quantity,dataset
484,"add project with name=Alpha, status=ongoing",ADD,project,"{""name"": ""Alpha"", ""status"": ""ongoing""}",{},2,SYNTHETIC
485,show completed projects,READ,project,{},"{""status"": ""completed""}",1,SYNTHETIC
486,delete project Alpha,DELETE,project,{},"{""name"": ""Alpha""}",1,SYNTHETIC
487,"update project Alpha, set status=completed",UPDATE,project,"{""status"": ""completed""}","{""name"": ""Alpha""}",2,SYNTHETIC
488,"add task with description=Write report, deadline=tomorrow",ADD,task,"{""description"": ""Write report"", ""deadline"": ""tomorrow""}",{},2,SYNTHETIC
489,get overdue tasks,READ,task,{},"{""status"": ""overdue""}",1,SYNTHETIC
490,delete task Write report,DELETE,task,{},"{""description"": ""Write report""}",1,SYNTHETIC
491,"update task Write report, set status=done",UPDATE,task,"{""status"": ""done""}","{""description"": ""Write report""}",2,SYNTHETIC
492,"add event with name=Meeting, date=2025-07-01",ADD,event,"{""name"": ""Meeting"", ""date"": ""2025-07-01""}",{},2,SYNTHETIC
493,show events for July,READ,event,{},"{""month"": ""July""}",1,SYNTHETIC
494,delete event Meeting,DELETE,event,{},"{""name"": ""Meeting""}",1,SYNTHETIC
495,"update event Meeting, set time=10:00 AM",UPDATE,event,"{""time"": ""10:00 AM""}","{""name"": ""Meeting""}",2,SYNTHETIC
496,"add feedback with rating=5, comment=Excellent service",ADD,feedback,"{""rating"": ""5"", ""comment"": ""Excellent service""}",{},2,SYNTHETIC
497,get feedback with rating 5,READ,feedback,{},"{""rating"": ""5""}",1,SYNTHETIC
498,delete feedback with comment 'Excellent service',DELETE,feedback,{},"{""comment"": ""Excellent service""}",1,SYNTHETIC
499,"update feedback with rating 5, set comment='Very good service'",UPDATE,feedback,"{""comment"": ""Very good service""}","{""rating"": ""5""}",2,SYNTHETIC
500,"add user with username=alice, password=pass123",ADD,user,"{""username"": ""alice"", ""password"": ""pass123""}",{},2,SYNTHETIC
501,delete user alice,DELETE,user,{},"{""username"": ""alice""}",1,SYNTHETIC
502,"update user alice, set email=alice@example.com",UPDATE,user,"{""email"": ""alice@example.com""}","{""username"": ""alice""}",2,SYNTHETIC
503,"add report with title=Monthly Sales, type=financial",ADD,report,"{""title"": ""Monthly Sales"", ""type"": ""financial""}",{},2,SYNTHETIC
504,get financial reports,READ,report,{},"{""type"": ""financial""}",1,SYNTHETIC
505,delete report Monthly Sales,DELETE,report,{},"{""title"": ""Monthly Sales""}",1,SYNTHETIC
506,"update report Monthly Sales, set author=Bob",UPDATE,report,"{""author"": ""Bob""}","{""title"": ""Monthly Sales""}",2,SYNTHETIC
507,"add document with name=Proposal, format=PDF",ADD,document,"{""name"": ""Proposal"", ""format"": ""PDF""}",{},2,SYNTHETIC
508,show PDF documents,READ,document,{},"{""format"": ""PDF""}",1,SYNTHETIC
509,delete document Proposal,DELETE,document,{},"{""name"": ""Proposal""}",1,SYNTHETIC
510,"update document Proposal, set size=5MB",UPDATE,document,"{""size"": ""5MB""}","{""name"": ""Proposal""}",2,SYNTHETIC
511,"add movie with title=Inception, director=Christopher Nolan",ADD,movie,"{""title"": ""Inception"", ""director"": ""Christopher Nolan""}",{},2,SYNTHETIC
512,get movies by Christopher Nolan,READ,movie,{},"{""director"": ""Christopher Nolan""}",1,SYNTHETIC
513,delete movie Inception,DELETE,movie,{},"{""title"": ""Inception""}",1,SYNTHETIC
514,"update movie Inception, set release_year=2010",UPDATE,movie,"{""release_year"": ""2010""}","{""title"": ""Inception""}",2,SYNTHETIC
515,"add song with title=Bohemian Rhapsody, artist=Queen",ADD,song,"{""title"": ""Bohemian Rhapsody"", ""artist"": ""Queen""}",{},2,SYNTHETIC
516,show songs by Queen,READ,song,{},"{""artist"": ""Queen""}",1,SYNTHETIC
517,delete song Bohemian Rhapsody,DELETE,song,{},"{""title"": ""Bohemian Rhapsody""}",1,SYNTHETIC
518,"update song Bohemian Rhapsody, set genre=Rock",UPDATE,song,"{""genre"": ""Rock""}","{""title"": ""Bohemian Rhapsody""}",2,SYNTHETIC
519,"add album with title=Thriller, artist=Michael Jackson",ADD,album,"{""title"": ""Thriller"", ""artist"": ""Michael Jackson""}",{},2,SYNTHETIC
520,get albums by Michael Jackson,READ,album,{},"{""artist"": ""Michael Jackson""}",1,SYNTHETIC
521,delete album Thriller,DELETE,album,{},"{""title"": ""Thriller""}",1,SYNTHETIC
522,"update album Thriller, set year=1982",UPDATE,album,"{""year"": ""1982""}","{""title"": ""Thriller""}",2,SYNTHETIC
523,"add playlist with name=Workout Mix, creator=Me",ADD,playlist,"{""name"": ""Workout Mix"", ""creator"": ""Me""}",{},2,SYNTHETIC
524,show playlists created by Me,READ,playlist,{},"{""creator"": ""Me""}",1,SYNTHETIC
525,delete playlist Workout Mix,DELETE,playlist,{},"{""name"": ""Workout Mix""}",1,SYNTHETIC
526,"update playlist Workout Mix, add song='Eye of the Tiger'",UPDATE,playlist,"{""song"": ""Eye of the Tiger""}","{""name"": ""Workout Mix""}",2,SYNTHETIC
527,"add podcast with title=The Daily, host=Michael Barbaro",ADD,podcast,"{""title"": ""The Daily"", ""host"": ""Michael Barbaro""}",{},2,SYNTHETIC
528,get podcasts by Michael Barbaro,READ,podcast,{},"{""host"": ""Michael Barbaro""}",1,SYNTHETIC
529,delete podcast The Daily,DELETE,podcast,{},"{""title"": ""The Daily""}",1,SYNTHETIC
530,"update podcast The Daily, set genre=News",UPDATE,podcast,"{""genre"": ""News""}","{""title"": ""The Daily""}",2,SYNTHETIC
531,"add recipe with name=Spaghetti Carbonara, cuisine=Italian",ADD,recipe,"{""name"": ""Spaghetti Carbonara"", ""cuisine"": ""Italian""}",{},2,SYNTHETIC
532,show Italian recipes,READ,recipe,{},"{""cuisine"": ""Italian""}",1,SYNTHETIC
533,delete recipe Spaghetti Carbonara,DELETE,recipe,{},"{""name"": ""Spaghetti Carbonara""}",1,SYNTHETIC
534,"update recipe Spaghetti Carbonara, set prep_time=30 minutes",UPDATE,recipe,"{""prep_time"": ""30 minutes""}","{""name"": ""Spaghetti Carbonara""}",2,SYNTHETIC
535,"add ingredient with name=Tomato, quantity=2",ADD,ingredient,"{""name"": ""Tomato"", ""quantity"": ""2""}",{},2,SYNTHETIC
536,get ingredients needed for pizza,READ,ingredient,{},"{""for_recipe"": ""pizza""}",1,SYNTHETIC
537,delete ingredient Tomato,DELETE,ingredient,{},"{""name"": ""Tomato""}",1,SYNTHETIC
538,"update ingredient Tomato, set unit=kg",UPDATE,ingredient,"{""unit"": ""kg""}","{""name"": ""Tomato""}",2,SYNTHETIC
539,"add restaurant with name=The Bistro, type=French",ADD,restaurant,"{""name"": ""The Bistro"", ""type"": ""French""}",{},2,SYNTHETIC
540,show French restaurants,READ,restaurant,{},"{""type"": ""French""}",1,SYNTHETIC
541,delete restaurant The Bistro,DELETE,restaurant,{},"{""name"": ""The Bistro""}",1,SYNTHETIC
542,"update restaurant The Bistro, set rating=4.5",UPDATE,restaurant,"{""rating"": ""4.5""}","{""name"": ""The Bistro""}",2,SYNTHETIC
543,"add car with make=Honda, model=Civic",ADD,car,"{""make"": ""Honda"", ""model"": ""Civic""}",{},2,SYNTHETIC
544,get Honda cars,READ,car,{},"{""make"": ""Honda""}",1,SYNTHETIC
545,delete car Honda Civic,DELETE,car,{},"{""make"": ""Honda"", ""model"": ""Civic""}",2,SYNTHETIC
546,"update car Honda Civic, set year=2020",UPDATE,car,"{""year"": ""2020""}","{""make"": ""Honda"", ""model"": ""Civic""}",3,SYNTHETIC
547,"add house with address=123 Main St, bedrooms=3",ADD,house,"{""address"": ""123 Main St"", ""bedrooms"": ""3""}",{},2,SYNTHETIC
548,show houses with 4 bedrooms,READ,house,{},"{""bedrooms"": ""4""}",1,SYNTHETIC
549,delete house at 123 Main St,DELETE,house,{},"{""address"": ""123 Main St""}",1,SYNTHETIC
550,"update house at 123 Main St, set price=300000",UPDATE,house,"{""price"": ""300000""}","{""address"": ""123 Main St""}",2,SYNTHETIC
551,"add pet with name=Buddy, species=dog",ADD,pet,"{""name"": ""Buddy"", ""species"": ""dog""}",{},2,SYNTHETIC
552,get all dogs,READ,pet,{},"{""species"": ""dog""}",1,SYNTHETIC
553,delete pet Buddy,DELETE,pet,{},"{""name"": ""Buddy""}",1,SYNTHETIC
554,"update pet Buddy, set age=5",UPDATE,pet,"{""age"": ""5""}","{""name"": ""Buddy""}",2,SYNTHETIC
555,"add plant with name=Rose, type=flower",ADD,plant,"{""name"": ""Rose"", ""type"": ""flower""}",{},2,SYNTHETIC
556,show all flowers,READ,plant,{},"{""type"": ""flower""}",1,SYNTHETIC
557,delete plant Rose,DELETE,plant,{},"{""name"": ""Rose""}",1,SYNTHETIC
558,"update plant Rose, set color=red",UPDATE,plant,"{""color"": ""red""}","{""name"": ""Rose""}",2,SYNTHETIC
559,"add computer with brand=Dell, model=XPS",ADD,computer,"{""brand"": ""Dell"", ""model"": ""XPS""}",{},2,SYNTHETIC
560,get Dell computers,READ,computer,{},"{""brand"": ""Dell""}",1,SYNTHETIC
561,delete computer Dell XPS,DELETE,computer,{},"{""brand"": ""Dell"", ""model"": ""XPS""}",2,SYNTHETIC
562,"update computer Dell XPS, set RAM=16GB",UPDATE,computer,"{""RAM"": ""16GB""}","{""brand"": ""Dell"", ""model"": ""XPS""}",3,SYNTHETIC
563,"add phone with brand=Apple, model=iPhone 15",ADD,phone,"{""brand"": ""Apple"", ""model"": ""iPhone 15""}",{},2,SYNTHETIC
564,show Apple phones,READ,phone,{},"{""brand"": ""Apple""}",1,SYNTHETIC
565,delete phone iPhone 15,DELETE,phone,{},"{""model"": ""iPhone 15""}",1,SYNTHETIC
566,"update phone iPhone 15, set storage=256GB",UPDATE,phone,"{""storage"": ""256GB""}","{""model"": ""iPhone 15""}",2,SYNTHETIC
567,"add appliance with type=Refrigerator, brand=Samsung",ADD,appliance,"{""type"": ""Refrigerator"", ""brand"": ""Samsung""}",{},2,SYNTHETIC
568,get Samsung appliances,READ,appliance,{},"{""brand"": ""Samsung""}",1,SYNTHETIC
569,delete appliance Refrigerator,DELETE,appliance,{},"{""type"": ""Refrigerator""}",1,SYNTHETIC
570,"update appliance Refrigerator, set color=silver",UPDATE,appliance,"{""color"": ""silver""}","{""type"": ""Refrigerator""}",2,SYNTHETIC
571,"add clothing with item=T-shirt, size=M",ADD,clothing,"{""item"": ""T-shirt"", ""size"": ""M""}",{},2,SYNTHETIC
572,show all size M clothing,READ,clothing,{},"{""size"": ""M""}",1,SYNTHETIC
573,delete clothing T-shirt,DELETE,clothing,{},"{""item"": ""T-shirt""}",1,SYNTHETIC
574,"update clothing T-shirt, set color=blue",UPDATE,clothing,"{""color"": ""blue""}","{""item"": ""T-shirt""}",2,SYNTHETIC
575,"add footwear with type=Sneakers, brand=Nike",ADD,footwear,"{""type"": ""Sneakers"", ""brand"": ""Nike""}",{},2,SYNTHETIC
576,get Nike footwear,READ,footwear,{},"{""brand"": ""Nike""}",1,SYNTHETIC
577,delete footwear Sneakers,DELETE,footwear,{},"{""type"": ""Sneakers""}",1,SYNTHETIC
578,"update footwear Sneakers, set size=9",UPDATE,footwear,"{""size"": ""9""}","{""type"": ""Sneakers""}",2,SYNTHETIC
579,"add furniture with item=Sofa, material=leather",ADD,furniture,"{""item"": ""Sofa"", ""material"": ""leather""}",{},2,SYNTHETIC
580,show leather furniture,READ,furniture,{},"{""material"": ""leather""}",1,SYNTHETIC
581,delete furniture Sofa,DELETE,furniture,{},"{""item"": ""Sofa""}",1,SYNTHETIC
582,"update furniture Sofa, set color=brown",UPDATE,furniture,"{""color"": ""brown""}","{""item"": ""Sofa""}",2,SYNTHETIC
583,"add building with type=Office, address=456 Oak Ave",ADD,building,"{""type"": ""Office"", ""address"": ""456 Oak Ave""}",{},2,SYNTHETIC
584,get all office buildings,READ,building,{},"{""type"": ""Office""}",1,SYNTHETIC
585,delete building 456 Oak Ave,DELETE,building,{},"{""address"": ""456 Oak Ave""}",1,SYNTHETIC
586,"update building 456 Oak Ave, set floors=10",UPDATE,building,"{""floors"": ""10""}","{""address"": ""456 Oak Ave""}",2,SYNTHETIC
587,"add device with type=Smart Speaker, brand=Google",ADD,device,"{""type"": ""Smart Speaker"", ""brand"": ""Google""}",{},2,SYNTHETIC
588,show Google devices,READ,device,{},"{""brand"": ""Google""}",1,SYNTHETIC
589,delete device Smart Speaker,DELETE,device,{},"{""type"": ""Smart Speaker""}",1,SYNTHETIC
590,"update device Smart Speaker, set status=offline",UPDATE,device,"{""status"": ""offline""}","{""type"": ""Smart Speaker""}",2,SYNTHETIC
591,"add software with name=Photoshop, version=CC",ADD,software,"{""name"": ""Photoshop"", ""version"": ""CC""}",{},2,SYNTHETIC
592,get software with version CC,READ,software,{},"{""version"": ""CC""}",1,SYNTHETIC
593,delete software Photoshop,DELETE,software,{},"{""name"": ""Photoshop""}",1,SYNTHETIC
594,"update software Photoshop, set license=perpetual",UPDATE,software,"{""license"": ""perpetual""}","{""name"": ""Photoshop""}",2,SYNTHETIC
595,"add game with title=Cyberpunk 2077, genre=RPG",ADD,game,"{""title"": ""Cyberpunk 2077"", ""genre"": ""RPG""}",{},2,SYNTHETIC
596,show RPG games,READ,game,{},"{""genre"": ""RPG""}",1,SYNTHETIC
597,delete game Cyberpunk 2077,DELETE,game,{},"{""title"": ""Cyberpunk 2077""}",1,SYNTHETIC
598,"update game Cyberpunk 2077, set platform=PC",UPDATE,game,"{""platform"": ""PC""}","{""title"": ""Cyberpunk 2077""}",2,SYNTHETIC
599,"add console with brand=Sony, model=PlayStation 5",ADD,console,"{""brand"": ""Sony"", ""model"": ""PlayStation 5""}",{},2,SYNTHETIC
600,get Sony consoles,READ,console,{},"{""brand"": ""Sony""}",1,SYNTHETIC
601,delete console PlayStation 5,DELETE,console,{},"{""model"": ""PlayStation 5""}",1,SYNTHETIC
602,"update console PlayStation 5, set storage=1TB",UPDATE,console,"{""storage"": ""1TB""}","{""model"": ""PlayStation 5""}",2,SYNTHETIC
603,"add artwork with title=Starry Night, artist=Vincent van Gogh",ADD,artwork,"{""title"": ""Starry Night"", ""artist"": ""Vincent van Gogh""}",{},2,SYNTHETIC
604,show artworks by Vincent van Gogh,READ,artwork,{},"{""artist"": ""Vincent van Gogh""}",1,SYNTHETIC
605,delete artwork Starry Night,DELETE,artwork,{},"{""title"": ""Starry Night""}",1,SYNTHETIC
606,"update artwork Starry Night, set year=1889",UPDATE,artwork,"{""year"": ""1889""}","{""title"": ""Starry Night""}",2,SYNTHETIC
607,"add museum with name=The Louvre, city=Paris",ADD,museum,"{""name"": ""The Louvre"", ""city"": ""Paris""}",{},2,SYNTHETIC
608,get museums in Paris,READ,museum,{},"{""city"": ""Paris""}",1,SYNTHETIC
609,delete museum The Louvre,DELETE,museum,{},"{""name"": ""The Louvre""}",1,SYNTHETIC
610,"update museum The Louvre, set exhibits=Ancient Egypt",UPDATE,museum,"{""exhibits"": ""Ancient Egypt""}","{""name"": ""The Louvre""}",2,SYNTHETIC
611,"add monument with name=Eiffel Tower, location=Paris",ADD,monument,"{""name"": ""Eiffel Tower"", ""location"": ""Paris""}",{},2,SYNTHETIC
612,show monuments in Paris,READ,monument,{},"{""location"": ""Paris""}",1,SYNTHETIC
613,delete monument Eiffel Tower,DELETE,monument,{},"{""name"": ""Eiffel Tower""}",1,SYNTHETIC
614,"update monument Eiffel Tower, set height=330m",UPDATE,monument,"{""height"": ""330m""}","{""name"": ""Eiffel Tower""}",2,SYNTHETIC
615,"add landmark with name=Statue of Liberty, city=New York",ADD,landmark,"{""name"": ""Statue of Liberty"", ""city"": ""New York""}",{},2,SYNTHETIC
616,get landmarks in New York,READ,landmark,{},"{""city"": ""New York""}",1,SYNTHETIC
617,delete landmark Statue of Liberty,DELETE,landmark,{},"{""name"": ""Statue of Liberty""}",1,SYNTHETIC
618,"update landmark Statue of Liberty, set year_built=1886",UPDATE,landmark,"{""year_built"": ""1886""}","{""name"": ""Statue of Liberty""}",2,SYNTHETIC
619,"add country with name=Japan, capital=Tokyo",ADD,country,"{""name"": ""Japan"", ""capital"": ""Tokyo""}",{},2,SYNTHETIC
620,show countries with capital Tokyo,READ,country,{},"{""capital"": ""Tokyo""}",1,SYNTHETIC
621,delete country Japan,DELETE,country,{},"{""name"": ""Japan""}",1,SYNTHETIC
622,"update country Japan, set population=125 million",UPDATE,country,"{""population"": ""125 million""}","{""name"": ""Japan""}",2,SYNTHETIC
623,"add city with name=London, country=UK",ADD,city,"{""name"": ""London"", ""country"": ""UK""}",{},2,SYNTHETIC
624,get cities in UK,READ,city,{},"{""country"": ""UK""}",1,SYNTHETIC
625,delete city London,DELETE,city,{},"{""name"": ""London""}",1,SYNTHETIC
626,"update city London, set population=9 million",UPDATE,city,"{""population"": ""9 million""}","{""name"": ""London""}",2,SYNTHETIC
627,"add person with name=Alice, occupation=Engineer",ADD,person,"{""name"": ""Alice"", ""occupation"": ""Engineer""}",{},2,SYNTHETIC
628,show all engineers,READ,person,{},"{""occupation"": ""Engineer""}",1,SYNTHETIC
629,delete person Alice,DELETE,person,{},"{""name"": ""Alice""}",1,SYNTHETIC
630,"update person Alice, set age=30",UPDATE,person,"{""age"": ""30""}","{""name"": ""Alice""}",2,SYNTHETIC
631,"add animal with species=Lion, habitat=Savanna",ADD,animal,"{""species"": ""Lion"", ""habitat"": ""Savanna""}",{},2,SYNTHETIC
632,get animals in Savanna,READ,animal,{},"{""habitat"": ""Savanna""}",1,SYNTHETIC
633,delete animal Lion,DELETE,animal,{},"{""species"": ""Lion""}",1,SYNTHETIC
634,"update animal Lion, set diet=carnivore",UPDATE,animal,"{""diet"": ""carnivore""}","{""species"": ""Lion""}",2,SYNTHETIC
635,"add planet with name=Mars, type=terrestrial",ADD,planet,"{""name"": ""Mars"", ""type"": ""terrestrial""}",{},2,SYNTHETIC
636,show terrestrial planets,READ,planet,{},"{""type"": ""terrestrial""}",1,SYNTHETIC
637,delete planet Mars,DELETE,planet,{},"{""name"": ""Mars""}",1,SYNTHETIC
638,"update planet Mars, set moons=2",UPDATE,planet,"{""moons"": ""2""}","{""name"": ""Mars""}",2,SYNTHETIC
639,"add star with name=Sun, type=G-type",ADD,star,"{""name"": ""Sun"", ""type"": ""G-type""}",{},2,SYNTHETIC
640,get G-type stars,READ,star,{},"{""type"": ""G-type""}",1,SYNTHETIC
641,delete star Sun,DELETE,star,{},"{""name"": ""Sun""}",1,SYNTHETIC
642,"update star Sun, set age=4.6 billion years",UPDATE,star,"{""age"": ""4.6 billion years""}","{""name"": ""Sun""}",2,SYNTHETIC
643,"add galaxy with name=Milky Way, type=spiral",ADD,galaxy,"{""name"": ""Milky Way"", ""type"": ""spiral""}",{},2,SYNTHETIC
644,show spiral galaxies,READ,galaxy,{},"{""type"": ""spiral""}",1,SYNTHETIC
645,delete galaxy Milky Way,DELETE,galaxy,{},"{""name"": ""Milky Way""}",1,SYNTHETIC
646,"update galaxy Milky Way, set diameter=100000 light-years",UPDATE,galaxy,"{""diameter"": ""100000 light-years""}","{""name"": ""Milky Way""}",2,SYNTHETIC
647,add universe with theory=Big Bang,ADD,universe,"{""theory"": ""Big Bang""}",{},1,SYNTHETIC
648,get universe with Big Bang theory,READ,universe,{},"{""theory"": ""Big Bang""}",1,SYNTHETIC
649,delete universe with Big Bang theory,DELETE,universe,{},"{""theory"": ""Big Bang""}",1,SYNTHETIC
650,"update universe with Big Bang theory, set age=13.8 billion years",UPDATE,universe,"{""age"": ""13.8 billion years""}","{""theory"": ""Big Bang""}",2,SYNTHETIC
651,"add instrument with type=Guitar, brand=Fender",ADD,instrument,"{""type"": ""Guitar"", ""brand"": ""Fender""}",{},2,SYNTHETIC
652,show Fender guitars,READ,instrument,{},"{""brand"": ""Fender""}",1,SYNTHETIC
653,delete instrument Guitar,DELETE,instrument,{},"{""type"": ""Guitar""}",1,SYNTHETIC
654,"update instrument Guitar, set strings=6",UPDATE,instrument,"{""strings"": ""6""}","{""type"": ""Guitar""}",2,SYNTHETIC
655,"add painting with title=Mona Lisa, artist=Leonardo da Vinci",ADD,painting,"{""title"": ""Mona Lisa"", ""artist"": ""Leonardo da Vinci""}",{},2,SYNTHETIC
656,get paintings by Leonardo da Vinci,READ,painting,{},"{""artist"": ""Leonardo da Vinci""}",1,SYNTHETIC
657,delete painting Mona Lisa,DELETE,painting,{},"{""title"": ""Mona Lisa""}",1,SYNTHETIC
658,"update painting Mona Lisa, set year=1503",UPDATE,painting,"{""year"": ""1503""}","{""title"": ""Mona Lisa""}",2,SYNTHETIC
659,"add sculpture with name=David, artist=Michelangelo",ADD,sculpture,"{""name"": ""David"", ""artist"": ""Michelangelo""}",{},2,SYNTHETIC
660,show sculptures by Michelangelo,READ,sculpture,{},"{""artist"": ""Michelangelo""}",1,SYNTHETIC
661,delete sculpture David,DELETE,sculpture,{},"{""name"": ""David""}",1,SYNTHETIC
662,"update sculpture David, set material=marble",UPDATE,sculpture,"{""material"": ""marble""}","{""name"": ""David""}",2,SYNTHETIC
663,"add a student with name=Emily, id=S001",ADD,student,"{""name"": ""Emily"", ""id"": ""S001""}",{},2,SYNTHETIC
664,"add subject with name=Chemistry, credits=4",ADD,subject,"{""name"": ""Chemistry"", ""credits"": ""4""}",{},2,SYNTHETIC
665,"add teacher with name=Maria, department=Physics",ADD,teacher,"{""name"": ""Maria"", ""department"": ""Physics""}",{},2,SYNTHETIC
666,"add outcome with category=Salary, amount=5000",ADD,outcome,"{""category"": ""Salary"", ""amount"": ""5000""}",{},2,SYNTHETIC
667,"add invoice with id=INV005, total=250.75",ADD,invoice,"{""id"": ""INV005"", ""total"": ""250.75""}",{},2,SYNTHETIC
668,"add test with subject=Math, grade=A",ADD,test,"{""subject"": ""Math"", ""grade"": ""A""}",{},2,SYNTHETIC
669,delete student id=S001,DELETE,student,{},"{""id"": ""S001""}",1,SYNTHETIC
670,"update subject Chemistry, set description='Introductory Chemistry'",UPDATE,subject,"{""description"": ""Introductory Chemistry""}","{""name"": ""Chemistry""}",2,SYNTHETIC
671,show teachers from Physics department,READ,teacher,{},"{""department"": ""Physics""}",1,SYNTHETIC
672,get outcomes with amount > 1000,READ,outcome,{},"{""amount"": "">1000""}",1,SYNTHETIC
673,"update invoice INV005, set status=paid",UPDATE,invoice,"{""status"": ""paid""}","{""id"": ""INV005""}",2,SYNTHETIC
674,"add article about AI, date=2024-01-15",ADD,article,"{""topic"": ""AI"", ""date"": ""2024-01-15""}",{},2,SYNTHETIC
675,delete article with topic AI,DELETE,article,{},"{""topic"": ""AI""}",1,SYNTHETIC
676,"update article with date 2024-01-15, set author=John Doe",UPDATE,article,"{""author"": ""John Doe""}","{""date"": ""2024-01-15""}",2,SYNTHETIC
677,add a student with enrollment_date=2023-09-01,ADD,student,"{""enrollment_date"": ""2023-09-01""}",{},1,SYNTHETIC
678,add course with instructor=Dr. Smith,ADD,course,"{""instructor"": ""Dr. Smith""}",{},1,SYNTHETIC
679,add book with ISBN=978-0321765723,ADD,book,"{""ISBN"": ""978-0321765723""}",{},1,SYNTHETIC
680,add employee with employee_id=EMP007,ADD,employee,"{""employee_id"": ""EMP007""}",{},1,SYNTHETIC
681,add product with SKU=SKU001,ADD,product,"{""SKU"": ""SKU001""}",{},1,SYNTHETIC
682,add customer with customer_id=CUST003,ADD,customer,"{""customer_id"": ""CUST003""}",{},1,SYNTHETIC
683,add order with order_date=2025-06-10,ADD,order,"{""order_date"": ""2025-06-10""}",{},1,SYNTHETIC
684,add project with start_date=2025-01-01,ADD,project,"{""start_date"": ""2025-01-01""}",{},1,SYNTHETIC
685,add task with assigned_to=Alice,ADD,task,"{""assigned_to"": ""Alice""}",{},1,SYNTHETIC
686,add event with location=Conference Room A,ADD,event,"{""location"": ""Conference Room A""}",{},1,SYNTHETIC
687,add feedback with source=website,ADD,feedback,"{""source"": ""website""}",{},1,SYNTHETIC
688,add user with role=admin,ADD,user,"{""role"": ""admin""}",{},1,SYNTHETIC
689,add report with generation_date=today,ADD,report,"{""generation_date"": ""today""}",{},1,SYNTHETIC
690,add document with creation_date=2024-05-20,ADD,document,"{""creation_date"": ""2024-05-20""}",{},1,SYNTHETIC
691,add movie with genre=Action,ADD,movie,"{""genre"": ""Action""}",{},1,SYNTHETIC
692,add song with duration=3:45,ADD,song,"{""duration"": ""3:45""}",{},1,SYNTHETIC
693,add album with genre=Pop,ADD,album,"{""genre"": ""Pop""}",{},1,SYNTHETIC
694,add playlist with number_of_songs=25,ADD,playlist,"{""number_of_songs"": ""25""}",{},1,SYNTHETIC
695,add podcast with category=Technology,ADD,podcast,"{""category"": ""Technology""}",{},1,SYNTHETIC
696,add recipe with difficulty=medium,ADD,recipe,"{""difficulty"": ""medium""}",{},1,SYNTHETIC
697,add ingredient with storage_type=pantry,ADD,ingredient,"{""storage_type"": ""pantry""}",{},1,SYNTHETIC
698,add restaurant with capacity=100,ADD,restaurant,"{""capacity"": ""100""}",{},1,SYNTHETIC
699,add car with color=red,ADD,car,"{""color"": ""red""}",{},1,SYNTHETIC
700,add house with area=1500 sq ft,ADD,house,"{""area"": ""1500 sq ft""}",{},1,SYNTHETIC
701,add pet with vaccinated=true,ADD,pet,"{""vaccinated"": ""true""}",{},1,SYNTHETIC
702,add plant with watering_frequency=weekly,ADD,plant,"{""watering_frequency"": ""weekly""}",{},1,SYNTHETIC
703,add computer with OS=Windows,ADD,computer,"{""OS"": ""Windows""}",{},1,SYNTHETIC
704,add phone with carrier=Verizon,ADD,phone,"{""carrier"": ""Verizon""}",{},1,SYNTHETIC
705,add appliance with energy_rating=A++,ADD,appliance,"{""energy_rating"": ""A++""}",{},1,SYNTHETIC
706,add clothing with brand=Levi's,ADD,clothing,"{""brand"": ""Levi\""s""}",{},1,SYNTHETIC
707,add footwear with closure_type=laces,ADD,footwear,"{""closure_type"": ""laces""}",{},1,SYNTHETIC
708,add furniture with assembly_required=false,ADD,furniture,"{""assembly_required"": ""false""}",{},1,SYNTHETIC
709,add building with year_built=1990,ADD,building,"{""year_built"": ""1990""}",{},1,SYNTHETIC
710,add device with connectivity=Wi-Fi,ADD,device,"{""connectivity"": ""Wi-Fi""}",{},1,SYNTHETIC
711,add software with developer=Adobe,ADD,software,"{""developer"": ""Adobe""}",{},1,SYNTHETIC
712,add game with publisher=CD Projekt Red,ADD,game,"{""publisher"": ""CD Projekt Red""}",{},1,SYNTHETIC
713,add console with release_date=2020-11-12,ADD,console,"{""release_date"": ""2020-11-12""}",{},1,SYNTHETIC
714,add artwork with medium=oil on canvas,ADD,artwork,"{""medium"": ""oil on canvas""}",{},1,SYNTHETIC
715,add museum with admission_fee=20,ADD,museum,"{""admission_fee"": ""20""}",{},1,SYNTHETIC
716,add monument with historical_significance=high,ADD,monument,"{""historical_significance"": ""high""}",{},1,SYNTHETIC
717,add landmark with visitor_count=1000000,ADD,landmark,"{""visitor_count"": ""1000000""}",{},1,SYNTHETIC
718,add country with currency=USD,ADD,country,"{""currency"": ""USD""}",{},1,SYNTHETIC
719,add city with timezone=GMT-5,ADD,city,"{""timezone"": ""GMT-5""}",{},1,SYNTHETIC
720,add person with hobby=reading,ADD,person,"{""hobby"": ""reading""}",{},1,SYNTHETIC
721,add animal with average_lifespan=15 years,ADD,animal,"{""average_lifespan"": ""15 years""}",{},1,SYNTHETIC
722,add planet with atmosphere=CO2 rich,ADD,planet,"{""atmosphere"": ""CO2 rich""}",{},1,SYNTHETIC
723,add star with luminosity=high,ADD,star,"{""luminosity"": ""high""}",{},1,SYNTHETIC
724,add galaxy with distance_from_earth=2.5 million light-years,ADD,galaxy,"{""distance_from_earth"": ""2.5 million light-years""}",{},1,SYNTHETIC
